Rank,Firearms,MSA_name,,Rank,Homicides,MSA_name,,Rank,Firearm Licenses,MSA_name
29,0.1268981,"Crossville, TN MicroSA",,29,0.556397132,"Corinth, MS MicroSA",,29,0.32536436,"Clarksburg, WV MicroSA"
30,0.126611642,"Memphis, TN-MS-AR MSA",,30,0.547611716,"Americus, GA MicroSA",,30,0.321646737,"Fergus Falls, MN MicroSA"
31,0.121283779,"Mayfield, KY MicroSA",,31,0.534853692,"Kinston, NC MicroSA",,31,0.316820815,"Oklahoma City, OK MSA"
32,0.119997035,"Sulphur Springs, TX MicroSA",,32,0.532935668,"Roanoke Rapids, NC MicroSA",,32,0.30782696,"Batesville, AR MicroSA"
33,0.119823312,"Columbus, GA-AL MSA",,33,0.532810422,"Memphis, TN-MS-AR MSA",,33,0.303459968,"Gillette, WY MicroSA"
34,0.117499123,"Madisonville, KY MicroSA",,34,0.529300212,"Montgomery, AL MSA",,34,0.303244604,"Paragould, AR MicroSA"
35,0.117170518,"Shreveport-Bossier City, LA MSA",,35,0.527802726,"Mobile, AL MSA",,35,0.302519528,"Rock Springs, WY MicroSA"
36,0.117161321,"Coffeyville, KS MicroSA",,36,0.526585129,"New Orleans-Metairie, LA MSA",,36,0.301547565,"Blackfoot, ID MicroSA"
37,0.116755237,"Martinsville, VA MicroSA",,37,0.52288579,"Jackson, MS MSA",,37,0.297361123,"Branson, MO MicroSA"
38,0.116026581,"DeRidder, LA MicroSA",,38,0.517741602,"Valley, AL MicroSA",,38,0.296281229,"Boise City, ID MSA"
39,0.115921829,"Florence, SC MSA",,39,0.514141611,"Talladega-Sylacauga, AL MicroSA",,39,0.294854637,"Laurel, MS MicroSA"
40,0.115265931,"Coshocton, OH MicroSA",,40,0.514021858,"Danville, VA MicroSA",,40,0.293509011,"Coeur d'Alene, ID MSA"
41,0.115044706,"Baton Rouge, LA MSA",,41,0.510396654,"El Dorado, AR MicroSA",,41,0.292395995,"North Vernon, IN MicroSA"
42,0.114236353,"Morgan City, LA MicroSA",,42,0.507165915,"Rockingham, NC MicroSA",,42,0.287805823,"Mineral Wells, TX MicroSA"
43,0.113297483,"Point Pleasant, WV-OH MicroSA",,43,0.505646461,"Riverton, WY MicroSA",,43,0.286069964,"Wahpeton, ND-MN MicroSA"
44,0.111915298,"Homosassa Springs, FL MSA",,44,0.496683598,"Opelousas, LA MicroSA",,44,0.284850501,"Denver-Aurora-Lakewood, CO MSA"
45,0.111613124,"Moultrie, GA MicroSA",,45,0.48801173,"Rocky Mount, NC MSA",,45,0.283128879,"Quincy, IL-MO MicroSA"
46,0.111428685,"Weatherford, OK MicroSA",,46,0.485773597,"Fitzgerald, GA MicroSA",,46,0.281827216,"Springfield, MO MSA"
47,0.111238758,"Dothan, AL MSA",,47,0.485646992,"Crescent City, CA MicroSA",,47,0.278365424,"Butte-Silver Bow, MT MicroSA"
48,0.110786315,"Augusta-Richmond County, GA-SC MSA",,48,0.478191585,"Baton Rouge, LA MSA",,48,0.278117602,"Laramie, WY MicroSA"
49,0.110573855,"Sierra Vista-Douglas, AZ MSA",,49,0.477331596,"Clearlake, CA MicroSA",,49,0.276701166,"Houston-The Woodlands-Sugar Land, TX MSA"
50,0.110282019,"Talladega-Sylacauga, AL MicroSA",,50,0.476814907,"Portales, NM MicroSA",,50,0.275369078,"Dunn, NC MicroSA"
51,0.109725838,"Bainbridge, GA MicroSA",,51,0.471118164,"Monroe, LA MSA",,51,0.273616247,"Levelland, TX MicroSA"
52,0.108758337,"Laurel, MS MicroSA",,52,0.470990672,"Moultrie, GA MicroSA",,52,0.270422817,"Lewiston, ID-WA MSA"
53,0.107632317,"Huntsville, AL MSA",,53,0.470784032,"Columbus, GA-AL MSA",,53,0.269172729,"Brainerd, MN MicroSA"
54,0.107584025,"Little Rock-North Little Rock-Conway, AR MSA",,54,0.462764144,"Milledgeville, GA MicroSA",,54,0.269044863,"Winchester, VA-WV MSA"
55,0.107184399,"Danville, VA MicroSA",,55,0.455035123,"Las Vegas, NM MicroSA",,55,0.267013246,"New Bern, NC MSA"
56,0.106854307,"Fitzgerald, GA MicroSA",,56,0.452510247,"Clewiston, FL MicroSA",,56,0.266673671,"West Plains, MO MicroSA"
57,0.106080169,"Mobile, AL MSA",,57,0.452337251,"Macon, GA MSA",,57,0.265697043,"Campbellsville, KY MicroSA"
58,0.105734445,"Lafayette, LA MSA",,58,0.450611614,"Alexandria, LA MSA",,58,0.264840355,"St. Louis, MO-IL MSA"
59,0.10480661,"Warner Robins, GA MSA",,59,0.444125816,"Birmingham-Hoover, AL MSA",,59,0.264816639,"Canon City, CO MicroSA"
60,0.104574774,"Helena-West Helena, AR MicroSA",,60,0.443992137,"Anniston-Oxford-Jacksonville, AL MSA",,60,0.264528646,"Bend-Redmond, OR MSA"
61,0.104545202,"Lock Haven, PA MicroSA",,61,0.442289597,"Carlsbad-Artesia, NM MicroSA",,61,0.26255293,"Searcy, AR MicroSA"
62,0.104346877,"Houston-The Woodlands-Sugar Land, TX MSA",,62,0.441551952,"Florence, SC MSA",,62,0.261146657,"Point Pleasant, WV-OH MicroSA"
63,0.103706929,"Kerrville, TX MicroSA",,63,0.439209251,"Grants, NM MicroSA",,63,0.260873949,"Fort Collins, CO MSA"
64,0.102756038,"Deming, NM MicroSA",,64,0.431726753,"Ashtabula, OH MicroSA",,64,0.260819589,"Athens, TN MicroSA"
65,0.102321929,"Greenville, MS MicroSA",,65,0.431348293,"Show Low, AZ MicroSA",,65,0.259262986,"Fairbanks, AK MSA"
66,0.102169302,"Clarksdale, MS MicroSA",,66,0.429171257,"Shreveport-Bossier City, LA MSA",,66,0.258360774,"Longview, TX MSA"
67,0.10133642,"Greenwood, MS MicroSA",,67,0.42391996,"Taos, NM MicroSA",,67,0.257226371,"Shelbyville, TN MicroSA"
68,0.100862259,"Somerset, KY MicroSA",,68,0.423691096,"McAlester, OK MicroSA",,68,0.256420493,"Burlington, IA-IL MicroSA"
69,0.099493264,"Sumter, SC MSA",,69,0.42360363,"Jackson, TN MSA",,69,0.254595407,"Great Falls, MT MSA"
70,0.098884876,"Atlanta-Sandy Springs-Roswell, GA MSA",,70,0.422927564,"Danville, IL MSA",,70,0.253424624,"Auburn, IN MicroSA"
71,0.098678218,"Vernon, TX MicroSA",,71,0.418576167,"Douglas, GA MicroSA",,71,0.252801087,"Little Rock-North Little Rock-Conway, AR MSA"
72,0.09841162,"Gadsden, AL MSA",,72,0.415200987,"Hobbs, NM MicroSA",,72,0.250346132,"Shawnee, OK MicroSA"
73,0.098371332,"Georgetown, SC MicroSA",,73,0.413619819,"Kennett, MO MicroSA",,73,0.249761957,"Boone, IA MicroSA"
74,0.097580616,"Murray, KY MicroSA",,74,0.408750733,"Flint, MI MSA",,74,0.249635606,"Cape Girardeau, MO-IL MSA"
75,0.097091363,"Stephenville, TX MicroSA",,75,0.397574768,"Savannah, GA MSA",,75,0.247080433,"Ontario, OR-ID MicroSA"
76,0.096626723,"Fairmont, WV MicroSA",,76,0.39255999,"Sanford, NC MicroSA",,76,0.243260724,"Kansas City, MO-KS MSA"
77,0.096617885,"Athens, TX MicroSA",,77,0.389996929,"Farmington, NM MSA",,77,0.240281624,"Hickory-Lenoir-Morganton, NC MSA"
78,0.096546633,"Dallas-Fort Worth-Arlington, TX MSA",,78,0.388431515,"Columbus, MS MicroSA",,78,0.240203143,"Montrose, CO MicroSA"
79,0.094868594,"Ruston, LA MicroSA",,79,0.387052035,"Guymon, OK MicroSA",,79,0.239647734,"Cincinnati, OH-KY-IN MSA"
80,0.094550267,"Oxford, MS MicroSA",,80,0.384726673,"Hammond, LA MSA",,80,0.239298016,"Fayetteville-Springdale-Rogers, AR-MO MSA"
81,0.09437589,"Natchez, MS-LA MicroSA",,81,0.384662473,"Albany, GA MSA",,81,0.237003572,"Sierra Vista-Douglas, AZ MSA"
82,0.094334593,"Platteville, WI MicroSA",,82,0.382111061,"Marshall, TX MicroSA",,82,0.233865314,"Billings, MT MSA"
83,0.093359215,"Fairbanks, AK MSA",,83,0.381910739,"Sumter, SC MSA",,83,0.232404449,"Casper, WY MSA"
84,0.092803995,"Lexington-Fayette, KY MSA",,84,0.376196731,"Williamsport, PA MSA",,84,0.231514057,"Bartlesville, OK MicroSA"
85,0.092792752,"Poplar Bluff, MO MicroSA",,85,0.374346073,"Fairbanks, AK MSA",,85,0.231045097,"Colorado Springs, CO MSA"
86,0.092017447,"Batesville, AR MicroSA",,86,0.372920006,"Palatka, FL MicroSA",,86,0.229868249,"Topeka, KS MSA"
87,0.090923472,"Thomasville, GA MicroSA",,87,0.371973306,"Camden, AR MicroSA",,87,0.229722507,"Lewisburg, TN MicroSA"
88,0.09073971,"Auburn-Opelika, AL MSA",,88,0.37017274,"Baltimore-Columbia-Towson, MD MSA",,88,0.227958117,"Roseburg, OR MicroSA"
89,0.090383587,"Campbellsville, KY MicroSA",,89,0.369398098,"Georgetown, SC MicroSA",,89,0.227660705,"Pine Bluff, AR MSA"
90,0.089593365,"Victoria, TX MSA",,90,0.366794593,"Tifton, GA MicroSA",,90,0.224412033,"Oxford, MS MicroSA"
91,0.089213067,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",,91,0.363121369,"Hot Springs, AR MSA",,91,0.224342669,"Pahrump, NV MicroSA"
92,0.088526527,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",,92,0.361600396,"Ardmore, OK MicroSA",,92,0.223210939,"Safford, AZ MicroSA"
93,0.088341269,"Phoenix-Mesa-Scottsdale, AZ MSA",,93,0.360705363,"Silver City, NM MicroSA",,93,0.222621295,"Urbana, OH MicroSA"
94,0.088034428,"Columbia, SC MSA",,94,0.360495609,"Lawton, OK MSA",,94,0.221796189,"Stevens Point, WI MicroSA"
95,0.087878532,"Vincennes, IN MicroSA",,95,0.360323276,"LaGrange, GA MicroSA",,95,0.217565681,"Victoria, TX MSA"
96,0.087499324,"Lynchburg, VA MSA",,96,0.354907835,"Cambridge, MD MicroSA",,96,0.215823306,"Albany, OR MSA"
97,0.087478426,"Prescott, AZ MSA",,97,0.354555411,"Big Spring, TX MicroSA",,97,0.215619609,"Stephenville, TX MicroSA"
98,0.087478351,"Price, UT MicroSA",,98,0.353194733,"Muskogee, OK MicroSA",,98,0.214315541,"Idaho Falls, ID MSA"
99,0.087294426,"Florence-Muscle Shoals, AL MSA",,99,0.352334207,"Goldsboro, NC MSA",,99,0.213622241,"Cheyenne, WY MSA"
100,0.086734754,"Athens-Clarke County, GA MSA",,100,0.352157846,"Vernal, UT MicroSA",,100,0.212220976,"Dixon, IL MicroSA"
101,0.08664987,"Opelousas, LA MicroSA",,101,0.352033379,"Waycross, GA MicroSA",,101,0.212208074,"Lebanon, MO MicroSA"
102,0.086524536,"Seneca, SC MicroSA",,102,0.351553581,"Elk City, OK MicroSA",,102,0.211723882,"Sulphur Springs, TX MicroSA"
103,0.086484049,"Dickinson, ND MicroSA",,103,0.351394321,"Ada, OK MicroSA",,103,0.211681025,"Medford, OR MSA"
104,0.08643959,"Greenville-Anderson-Mauldin, SC MSA",,104,0.351314026,"Newberry, SC MicroSA",,104,0.210244563,"Mount Vernon, IL MicroSA"
105,0.085824769,"Huntington-Ashland, WV-KY-OH MSA",,105,0.34624197,"Summerville, GA MicroSA",,105,0.208987329,"Marshall, TX MicroSA"
106,0.085306273,"DuBois, PA MicroSA",,106,0.34524476,"Fort Polk South, LA MicroSA",,106,0.205571205,"Amarillo, TX MSA"
107,0.085043,"Wahpeton, ND-MN MicroSA",,107,0.342700677,"Fayetteville, NC MSA",,107,0.202122838,"Camden, AR MicroSA"
108,0.084880333,"Shelbyville, TN MicroSA",,108,0.342688432,"Ponca City, OK MicroSA",,108,0.198969455,"Miami, OK MicroSA"
109,0.084285898,"Starkville, MS MicroSA",,109,0.338029891,"Mayfield, KY MicroSA",,109,0.198860196,"Muscatine, IA MicroSA"
110,0.083755476,"Grenada, MS MicroSA",,110,0.337439458,"Lake City, FL MicroSA",,110,0.197536109,"El Dorado, AR MicroSA"
111,0.083369841,"Vicksburg, MS MicroSA",,111,0.337319067,"Levelland, TX MicroSA",,111,0.192644088,"Wilmington, NC MSA"
112,0.083070067,"Spartanburg, SC MSA",,112,0.335284113,"St. Louis, MO-IL MSA",,112,0.192197269,"Sayre, PA MicroSA"
113,0.083022398,"Longview, TX MSA",,113,0.334337965,"Saginaw, MI MSA",,113,0.191653345,"North Wilkesboro, NC MicroSA"
114,0.082858555,"Gaffney, SC MicroSA",,114,0.332065416,"Little Rock-North Little Rock-Conway, AR MSA",,114,0.191590121,"Huntsville, AL MSA"
115,0.082840176,"Dublin, GA MicroSA",,115,0.331548646,"Auburn-Opelika, AL MSA",,115,0.190490328,"Elko, NV MicroSA"
116,0.082613583,"Rock Springs, WY MicroSA",,116,0.330811286,"Borger, TX MicroSA",,116,0.189022232,"Rolla, MO MicroSA"
117,0.082469406,"Cedartown, GA MicroSA",,117,0.329871146,"Cedartown, GA MicroSA",,117,0.187978588,"Greensboro-High Point, NC MSA"
118,0.082313978,"Morgantown, WV MSA",,118,0.328284577,"Hattiesburg, MS MSA",,118,0.187203537,"Morgantown, WV MSA"
119,0.082040136,"Brookhaven, MS MicroSA",,119,0.327333981,"Longview, TX MSA",,119,0.186618927,"Bainbridge, GA MicroSA"
120,0.081509587,"Monroe, LA MSA",,120,0.327294793,"Vidalia, GA MicroSA",,120,0.185773753,"Hastings, NE MicroSA"
121,0.081125003,"Anchorage, AK MSA",,121,0.326337225,"Magnolia, AR MicroSA",,121,0.184689013,"Kerrville, TX MicroSA"
122,0.080984548,"Richmond-Berea, KY MicroSA",,122,0.324120071,"Burlington, IA-IL MicroSA",,122,0.18454154,"Grand Junction, CO MSA"
123,0.080480642,"Fernley, NV MicroSA",,123,0.323208517,"Yakima, WA MSA",,123,0.183801985,"Summerville, GA MicroSA"
124,0.080128384,"Missoula, MT MSA",,124,0.321740201,"Charleston, WV MSA",,124,0.183258112,"Bloomsburg-Berwick, PA MSA"
125,0.079842264,"Moberly, MO MicroSA",,125,0.321000748,"Sikeston, MO MicroSA",,125,0.182503058,"Meadville, PA MicroSA"
126,0.079821981,"Tyler, TX MSA",,126,0.320858562,"Hilton Head Island-Bluffton-Beaufort, SC MSA",,126,0.182209768,"Valley, AL MicroSA"
127,0.079542621,"Corpus Christi, TX MSA",,127,0.320631373,"Poplar Bluff, MO MicroSA",,127,0.181012764,"Hannibal, MO MicroSA"
128,0.078923826,"Wapakoneta, OH MicroSA",,128,0.316947733,"Klamath Falls, OR MicroSA",,128,0.180566158,"St. Joseph, MO-KS MSA"
129,0.078281839,"Sanford, NC MicroSA",,129,0.31652174,"Lamesa, TX MicroSA",,129,0.180007837,"Oneonta, NY MicroSA"
130,0.078241002,"Fort Leonard Wood, MO MicroSA",,130,0.3155195,"Dublin, GA MicroSA",,130,0.1799468,"San Antonio-New Braunfels, TX MSA"
131,0.078233592,"Punta Gorda, FL MSA",,131,0.314595804,"Morgan City, LA MicroSA",,131,0.177934055,"Charleston, WV MSA"
132,0.078132525,"Oklahoma City, OK MSA",,132,0.313442436,"Beaumont-Port Arthur, TX MSA",,132,0.177199798,"Portland-Vancouver-Hillsboro, OR-WA MSA"
133,0.078039989,"Prineville, OR MicroSA",,133,0.308114367,"Liberal, KS MicroSA",,133,0.176087553,"Mountain Home, AR MicroSA"
134,0.077934224,"New Castle, IN MicroSA",,134,0.303212497,"London, KY MicroSA",,134,0.175953788,"Murray, KY MicroSA"
135,0.07790879,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",,135,0.303148291,"Bogalusa, LA MicroSA",,135,0.175627266,"Kennett, MO MicroSA"
136,0.077901831,"Fremont, OH MicroSA",,136,0.302952249,"Lafayette, LA MSA",,136,0.174767421,"Crossville, TN MicroSA"
137,0.076986951,"Decatur, AL MSA",,137,0.302671988,"Gaffney, SC MicroSA",,137,0.17432561,"Kingsport-Bristol-Bristol, TN-VA MSA"
138,0.07697315,"Henderson, NC MicroSA",,138,0.301671182,"Tahlequah, OK MicroSA",,138,0.174135818,"Jonesboro, AR MSA"
139,0.076509406,"Houma-Thibodaux, LA MSA",,139,0.297386441,"Charleston-North Charleston, SC MSA",,139,0.171804313,"Reno, NV MSA"
140,0.076476204,"Kalispell, MT MicroSA",,140,0.29585974,"Bakersfield, CA MSA",,140,0.170946278,"Killeen-Temple, TX MSA"
141,0.076440099,"Albertville, AL MicroSA",,141,0.295284845,"Arcadia, FL MicroSA",,141,0.170328507,"Hagerstown-Martinsburg, MD-WV MSA"
142,0.076218484,"Hilton Head Island-Bluffton-Beaufort, SC MSA",,142,0.29488377,"Jesup, GA MicroSA",,142,0.170115487,"Somerset, KY MicroSA"
143,0.076201815,"Urbana, OH MicroSA",,143,0.294498257,"Augusta-Richmond County, GA-SC MSA",,143,0.168727809,"Ashland, OH MicroSA"
144,0.076167278,"Harrison, AR MicroSA",,144,0.292358389,"Alice, TX MicroSA",,144,0.16844763,"Marinette, WI-MI MicroSA"
145,0.075941506,"Lawton, OK MSA",,145,0.29096154,"Salinas, CA MSA",,145,0.168242968,"McAlester, OK MicroSA"
146,0.07538082,"Marshall, MO MicroSA",,146,0.290959062,"Beckley, WV MSA",,146,0.168197034,"Tyler, TX MSA"
147,0.074727769,"Snyder, TX MicroSA",,147,0.290613364,"Houma-Thibodaux, LA MSA",,147,0.16735908,"Mountain Home, ID MicroSA"
148,0.074722351,"Alexandria, LA MSA",,148,0.289462361,"DeRidder, LA MicroSA",,148,0.166098664,"Wausau, WI MSA"
149,0.074491214,"Martin, TN MicroSA",,149,0.289000213,"Pueblo, CO MSA",,149,0.164544988,"Austin-Round Rock, TX MSA"
150,0.074015156,"Bloomsburg-Berwick, PA MSA",,150,0.288968921,"Martinsville, VA MicroSA",,150,0.16449413,"Huntingdon, PA MicroSA"
151,0.073999728,"Columbus, MS MicroSA",,151,0.287913524,"Ketchikan, AK MicroSA",,151,0.163169337,"Fort Madison-Keokuk, IA-IL-MO MicroSA"
152,0.073922699,"Bluefield, WV-VA MicroSA",,152,0.286551231,"Shelby, NC MicroSA",,152,0.159923842,"Alexandria, MN MicroSA"
153,0.073761457,"Cookeville, TN MicroSA",,153,0.285562394,"Beeville, TX MicroSA",,153,0.159752217,"Asheville, NC MSA"
154,0.073696598,"Grants Pass, OR MSA",,154,0.284747743,"Wilson, NC MicroSA",,154,0.158630013,"Glasgow, KY MicroSA"
155,0.073591108,"Orangeburg, SC MicroSA",,155,0.281527723,"Kankakee, IL MSA",,155,0.157828288,"Albemarle, NC MicroSA"
156,0.073468189,"Tallahassee, FL MSA",,156,0.280865775,"Stockton-Lodi, CA MSA",,156,0.15768943,"Salt Lake City, UT MSA"
157,0.073397418,"Brookings, OR MicroSA",,157,0.280458403,"Eureka-Arcata-Fortuna, CA MicroSA",,157,0.156945327,"Poplar Bluff, MO MicroSA"
158,0.073272198,"Lake Havasu City-Kingman, AZ MSA",,158,0.279492648,"Texarkana, TX-AR MSA",,158,0.156677503,"Coshocton, OH MicroSA"
159,0.072998458,"Texarkana, TX-AR MSA",,159,0.276877277,"Anchorage, AK MSA",,159,0.1558616,"Auburn, NY MicroSA"
160,0.072973101,"Brunswick, GA MSA",,160,0.275146188,"Payson, AZ MicroSA",,160,0.155778481,"Missoula, MT MSA"
161,0.072881409,"Crawfordsville, IN MicroSA",,161,0.274703451,"Seneca, SC MicroSA",,161,0.154966579,"Dayton, OH MSA"
162,0.072378597,"Kingsport-Bristol-Bristol, TN-VA MSA",,162,0.270899751,"Decatur, AL MSA",,162,0.154813782,"Hattiesburg, MS MSA"
163,0.072126763,"Jackson, TN MSA",,163,0.267143343,"Clovis, NM MicroSA",,163,0.154759281,"Ottawa-Peru, IL MicroSA"
164,0.071803141,"West Plains, MO MicroSA",,164,0.264195494,"Hinesville, GA MSA",,164,0.15442738,"Forest City, NC MicroSA"
165,0.071385362,"Jefferson City, MO MSA",,165,0.261561817,"Clarksville, TN-KY MSA",,165,0.153460922,"Atlanta-Sandy Springs-Roswell, GA MSA"
166,0.070576481,"Summerville, GA MicroSA",,166,0.259321215,"Albuquerque, NM MSA",,166,0.153316312,"Charleston-Mattoon, IL MicroSA"
167,0.070037872,"Glasgow, KY MicroSA",,167,0.256372142,"Cape Girardeau, MO-IL MSA",,167,0.153083201,"Midland, TX MSA"
168,0.070001977,"Mount Vernon, OH MicroSA",,168,0.254810767,"Jacksonville, FL MSA",,168,0.152860673,"Gainesville, GA MSA"
169,0.069787511,"Valdosta, GA MSA",,169,0.253875165,"Spartanburg, SC MSA",,169,0.152831987,"Pittsburgh, PA MSA"
170,0.069617737,"Brownwood, TX MicroSA",,170,0.249744482,"Coffeyville, KS MicroSA",,170,0.152451283,"Port St. Lucie, FL MSA"
171,0.069559284,"Jacksonville, FL MSA",,171,0.248912716,"Bartlesville, OK MicroSA",,171,0.152338819,"Greenwood, MS MicroSA"
172,0.069540378,"North Vernon, IN MicroSA",,172,0.24673057,"Tulsa, OK MSA",,172,0.149841277,"Terre Haute, IN MSA"
173,0.069393121,"Forrest City, AR MicroSA",,173,0.246591648,"Columbia, SC MSA",,173,0.149369321,"Cullman, AL MicroSA"
174,0.068949493,"Mount Sterling, KY MicroSA",,174,0.24555742,"Newport, TN MicroSA",,174,0.148879045,"Olean, NY MicroSA"
175,0.068848261,"Tupelo, MS MicroSA",,175,0.245369896,"Topeka, KS MSA",,175,0.148350449,"Albuquerque, NM MSA"
176,0.068844475,"LaGrange, GA MicroSA",,176,0.245367103,"Dothan, AL MSA",,176,0.148114151,"North Platte, NE MicroSA"
177,0.068839212,"Gulfport-Biloxi-Pascagoula, MS MSA",,177,0.243493699,"Brunswick, GA MSA",,177,0.145733278,"Louisville/Jefferson County, KY-IN MSA"
178,0.068775335,"New Ulm, MN MicroSA",,178,0.243088195,"Pecos, TX MicroSA",,178,0.14528395,"Danville, KY MicroSA"
179,0.068677467,"Russellville, AR MicroSA",,179,0.240837056,"Lawrenceburg, TN MicroSA",,179,0.144837181,"Lawton, OK MSA"
180,0.068388392,"Washington, NC MicroSA",,180,0.240176238,"Springfield, OH MSA",,180,0.144284674,"Shreveport-Bossier City, LA MSA"
181,0.06811849,"El Campo, TX MicroSA",,181,0.238560051,"Athens, TN MicroSA",,181,0.143473208,"Warrensburg, MO MicroSA"
182,0.068092808,"Sherman-Denison, TX MSA",,182,0.238452593,"Russellville, AR MicroSA",,182,0.142952708,"Klamath Falls, OR MicroSA"
183,0.067962649,"Durango, CO MicroSA",,183,0.237644239,"Kansas City, MO-KS MSA",,183,0.142501999,"Baraboo, WI MicroSA"
184,0.067548759,"Louisville/Jefferson County, KY-IN MSA",,184,0.23757854,"Susanville, CA MicroSA",,184,0.141687024,"Rexburg, ID MicroSA"
185,0.067410706,"Cleveland, TN MSA",,185,0.235028613,"Fort Wayne, IN MSA",,185,0.140208312,"Beaver Dam, WI MicroSA"
186,0.06726696,"Kennett, MO MicroSA",,186,0.234700702,"Shawnee, OK MicroSA",,186,0.140132663,"Sedalia, MO MicroSA"
187,0.067038661,"Kirksville, MO MicroSA",,187,0.234696286,"Greenwood, SC MicroSA",,187,0.1401241,"Natchez, MS-LA MicroSA"
188,0.066804127,"Jonesboro, AR MSA",,188,0.234276366,"Rockford, IL MSA",,188,0.140116646,"Bloomington, IN MSA"
189,0.066149878,"Crestview-Fort Walton Beach-Destin, FL MSA",,189,0.233634586,"Jonesboro, AR MSA",,189,0.139191849,"Martin, TN MicroSA"
190,0.066128772,"Charlotte-Concord-Gastonia, NC-SC MSA",,190,0.23302792,"Muskegon, MI MSA",,190,0.138632625,"Defiance, OH MicroSA"
